player1,player2,win_probability_p1,actual_outcome
Ziakun O.,Kurylenko O.,0.5236,1
Pavliuk V.,Solomko S.,0.5,1
Kalev L.,Mihalachi I.,0.4541,0
Krames J.,Rejent S.,0.5474,1
Tokar M.,Polak S.,0.4541,1
Tebenko Y.,Budnikov A.,0.3829,1
Arzanov D.,Aristarkhov S.,0.5448,0
Honchar Y.,Zholubak R.,0.4583,1
Karpenko O.,Klymenko K.,0.5021,0
Varga K.,Zelman D.,0.5,1
Bouska M.,Krames J.,0.5442,1
Kolos Y.,Korobko V.,0.3943,1
Rotari A.,Melnic F.,0.5459,1
Drobov D.,Vilenchyts N.,0.5363,1
Ziakun O.,Syksa A.,0.4598,0
Solomko S.,Minenko A.,0.4089,0
Brandtl A.,Rejent S.,0.5887,1
Bazany D.,Tokar M.,0.4979,0
Mihalachi I.,Bulat P.,0.4979,0
Okopnyi V.,Tebenko Y.,0.5391,0
Yurchenko K.,Bochkovskyi V.,0.6906,1
Aristarkhov S.,Arzanov D.,0.5053,1
Pavliuk V.,Semenets S.,0.4979,0
Kalev L.,Rotaru S.,0.4562,1
Rejent S.,Krames J.,0.4137,0
Zelman D.,Stracar P.,0.5459,1
Kolos Y.,Huchok A.,0.597,0
Honchar Y.,Drobov D.,0.3431,1
Karpenko O.,Solomko S.,0.5417,1
Syksa A.,Ziakun O.,0.5818,1
Brandtl A.,Bouska M.,0.4541,0
Rotari A.,Mihalachi I.,0.4999,1
Varga K.,Polak S.,0.548,0
Budnikov A.,Korobko V.,0.4643,0
Vasylets A.,Priadko Y.,0.5,1
Yurchenko K.,Zholubak R.,0.7309,0
Hries V.,Novikov V.,0.5,0
Pavliuk V.,Klymenko K.,0.4562,0
Bazany D.,Zelman D.,0.4563,1
Kalev L.,Melnic F.,0.5479,1
Horak D.,Brichacek D.,0.504,1
Okopnyi V.,Kolos Y.,0.4951,0
Maliuk S.,Ziakun V.,0.4157,0
Burdelnyi S.,Khairov D.,0.5,0
Vilenchyts N.,Bochkovskyi V.,0.5704,1
Minenko A.,Semenets S.,0.5398,0
Hofmann M.,Fafek J.,0.4543,1
Bulat P.,Rotaru S.,0.5929,1
Varga K.,Tokar M.,0.4958,1
Tebenko Y.,Korobko V.,0.4063,1
Honchar Y.,Yurchenko K.,0.3294,0
Lyman O.,Boklah R.,0.5,1
Dovzhenko S.,Kovshun Y.,0.5,1
Karpenko O.,Pavliuk V.,0.5418,0
Horak D.,Fafek J.,0.5021,1
